Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),8 feet (2.4 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I might hire someone,Need at 21M Fence taken down and discarded by contractor. New 21M fence installed with 4'' Slats either side of the fence.
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,I'll consider both options,No additional services required,I'm flexible,I'm certain I'll be hiring someone,The fence has fallen and needs to be put back up.
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,Front garden wooden fence and post to be installed approximate size 16 foot at the front 19 foot to the side plus one gate to be installed
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Asdap
chalet,Installation of a new fence and gate,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,we a have a chalet on a caravan park in Bilsthorpe and would like a fence and gate installed asap
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),6ft high/4ftwidth,No,Yes - I would like the professional to supply the materials,"Fence and/or gate painting, Green",Price,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Fence asap
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,No - I will be providing the materials myself,Application of sealant,Within the next few weeks,I'm certain I'll be hiring someone,"I want to have fitted concrete gravel boards and posts, with wooden posts."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Fencing around the whole garden
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Straight fence consisting of 5 bases 5 7ft panels 6 post
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,"in the future, now I'm just interested in the idea of ​​how much it will cost me , thanks",I'm still researching and exploring options,"in the future, now I'm just interested in the idea of ​​how much it will cost me"
Single-story home (Bungalow),Repair of the existing gate,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,
Apartment or flat,Replacement of the existing fence,Wood and steel,7 feet (2.1 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
